Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Cutaneous Melanoma	26/301	0.00114160229964398	0.0233844342023847	26	0.0863787375415282	TOP2A;MCM7;TGFA;MKI67;HIF1A;AURKB;CYP27B1;CHAF1B;PAK1;CDH1;PRAME;CCL19;EPHB2;SOX4;TFAP2A;GPR37;PARP1;CDKN2A;MMP1;NME1;MMP12;IL2RA;MCM4;MELTF;MCM6;EZH2
Flexion contracture of proximal interphalangeal joint	13/109	0.00120133088296492	0.0245200214148019	13	0.119266055045872	COL17A1;CDT1;CANT1;ITGB4;GMNN;CDC6;FERMT1;ORC6;CDC45;ORC1;COL6A3;CRLF1;EZH2
Pterygium	10/71	0.00121810243331967	0.0247738626563057	10	0.140845070422535	FKBP10;PLAU;MMP1;CDKN2A;IGFBP3;PMAIP1;PLOD2;ANGPTL4;MMP9;LOXL1
Papillary thyroid carcinoma	42/571	0.00122303552354365	0.0247859858760708	42	0.0735551663747811	PCNA;SLC35F2;SLC2A1;TGFA;RASAL1;FOXM1;HIF1A;CXCL14;LOXL1;AURKB;LDHA;IGHG1;CDC45;IRAK1;EPCAM;CDH1;MDK;PLAU;CHEK1;SPP1;EIF4EBP1;CA9;TIMP1;TK1;EPHB2;NQO1;PARP1;CDKN2A;CCL20;DIO2;MMP9;RUNX2;CKAP4;MMP11;DAP;PKM;CYP24A1;IL2RA;EZH2;CDKN3;NECTIN1;PTGES
Bone Diseases	17/165	0.00123618110535955	0.0249382988861704	17	0.103030303030303	MMP7;HGD;MMP1;BIK;CCL20;COL11A1;HSPE1;HIF1A;MMP9;RUNX2;COL1A1;SFRP2;CYP24A1;ZDHHC9;CTSK;CEACAM5;SPP1
stage, cervical cancer	5/19	0.00123927854482457	0.0249382988861704	5	0.263157894736842	GINS2;MDK;B3GNT3;SIX1;MMP9
Small labia majora	6/28	0.00129817853009818	0.025556707903788	6	0.214285714285714	CDT1;CDC45;ORC6;ORC1;GMNN;CDC6
Malignant Bone Neoplasm	6/28	0.00129817853009818	0.025556707903788	6	0.214285714285714	PLAU;CDKN2A;SPP1;PLOD2;MMP9;RUNX2
Retrusion of upper jaw bones	11/84	0.00130578455081472	0.025556707903788	11	0.130952380952381	CDT1;CDC45;ORC6;ORC1;ZDHHC9;COL11A1;SMOC1;GMNN;TGFA;CDC6;RUNX2
Decreased projection of maxilla	11/84	0.00130578455081472	0.025556707903788	11	0.130952380952381	CDT1;CDC45;ORC6;ORC1;ZDHHC9;COL11A1;SMOC1;GMNN;TGFA;CDC6;RUNX2
Deficiency of upper jaw bones	11/84	0.00130578455081472	0.025556707903788	11	0.130952380952381	CDT1;CDC45;ORC6;ORC1;ZDHHC9;COL11A1;SMOC1;GMNN;TGFA;CDC6;RUNX2
Hypoplasia of the maxilla	11/84	0.00130578455081472	0.025556707903788	11	0.130952380952381	CDT1;CDC45;ORC6;ORC1;ZDHHC9;COL11A1;SMOC1;GMNN;TGFA;CDC6;RUNX2
Hypotrophic maxilla	11/84	0.00130578455081472	0.025556707903788	11	0.130952380952381	CDT1;CDC45;ORC6;ORC1;ZDHHC9;COL11A1;SMOC1;GMNN;TGFA;CDC6;RUNX2
Maxillary retrognathia	11/84	0.00130578455081472	0.025556707903788	11	0.130952380952381	CDT1;CDC45;ORC6;ORC1;ZDHHC9;COL11A1;SMOC1;GMNN;TGFA;CDC6;RUNX2
