Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Liver Cirrhosis, Experimental	99/801	1.97198298496729e-16	1.17225424897283e-13	99	0.123595505617978	FCN1;CSF3;VIPR1;CD83;GMFG;ICAM2;LGALSL;FRY;CDH5;HPGDS;TUBB6;GJA4;SLC39A8;TMEM178A;SEMA6D;LMO2;HPCAL1;CYBB;TYROBP;SELENOP;AGTR1;MYADM;NUPR1;MYL9;ATF3;ABCG1;OTULINL;CFD;C5AR1;LPL;LIN7A;NDRG2;CFP;SOCS2;PLAC8;C7;A2M;SLC15A3;STARD13;CAV1;LY86;NR0B2;FLI1;HOPX;ID4;HLA-DRA;FXYD6;IL7R;HLA-DRB1;CELF2;FHL1;ITGAL;VSIR;ADGRE1;THBD;FCGR3A;CA3;ALDH2;ACP5;CD36;EDN1;FCER1G;MYOC;MME;VWF;ANXA3;EMP1;FOS;INMT;TGFBR2;FGR;HCK;ALDH1A1;CRYAB;TLR4;JDP2;C1QB;COLEC12;C1QA;AHNAK;HSD17B6;PTN;SELENBP1;DRAM1;ABLIM3;PALMD;S1PR1;GBP4;IL33;KCNJ8;MFAP4;FAM167B;KLF6;AADAC;MGP;LHFPL6;CDO1;FOXA2;C1QC
Coronary heart disease	103/913	2.13523495339707e-14	1.15137044020037e-11	103	0.112814895947426	CSF3;PROS1;CLU;HPGDS;GJA5;GJA4;LEPR;SVEP1;ROS1;SEMA6A;CD93;PRKCE;CYBB;RBP4;AGTR1;DPEP2;AGTR2;ADTRP;PLPP3;ABCG1;JCAD;CES1;SLC22A3;CPB2;INSIG1;ALOX15;GATA6;LPL;ADRB1;ADRB2;GATA2;AGER;HCAR2;S100A12;KL;EGR1;HLA-DRB5;ACE;CAV1;TNFSF13;PPBP;SELP;IL6;NES;HLA-DRB1;SRPX;CITED2;PCSK9;TCF21;LDB2;PEAR1;CHRDL1;CX3CL1;SLC6A4;THBD;FCGR3A;ALDH2;CA2;ADAMTS1;GPER1;OLR1;PHACTR1;CD36;CD34;EDN1;VWF;MIR23A;FOS;TGFBR2;F8;MMRN1;PECAM1;CASQ2;PPARG;TLR4;ST6GALNAC5;HLA-DQB1;CX3CR1;SELPLG;PLA2G1B;ADH1B;RETN;SELENBP1;IL1RL1;ALOX5;LDLR;IL33;BCHE;CDKN2B;KCNJ8;LHFPL3;CABCOCO1;SOD3;TBX3;KLF2;FABP4;SCD;DLC1;MGP;APOC1;ALOX5AP;ESYT3;GPD1L
Lung diseases	60/393	2.43403657592281e-14	1.15137044020037e-11	60	0.152671755725191	FCN1;CSF3;SERPINA1;PTH1R;ITGAL;CXCL2;CX3CL1;HPGDS;EDNRB;ALDH2;ADGRE5;CTSH;CAMP;SFTPB;EDN1;GPX3;SLC11A1;SFTPC;SFTPD;FOS;NPNT;OSCAR;SCNN1G;GPRC5A;SLPI;MMRN1;SCNN1B;CAT;PPARG;CLEC4E;TLR4;CFTR;ABCG1;ENG;SFTPA2;PLA2G1B;SEMA3B;C5AR1;GATA6;ADRB2;AGER;IL1RL1;CXCR2;TPPP;A2M;IRX1;IRX2;EGR1;IL33;ACE;JUND;FOXF1;ABCA3;VEGFD;KLF2;IL6;SCGB1A1;FOSB;SFTPA1;FOXA2
Rheumatoid Arthritis	168/1833	2.46508428854645e-14	1.15137044020037e-11	168	0.0916530278232406	FCN1;VIPR1;CD83;NCF2;RTKN2;LST1;PRF1;IHH;FAM107A;CLU;TGM1;HPGDS;ZFP36;EDNRB;LAMP3;CCRL2;ROPN1L;VSIG4;HLA-DOA;HOXA5;SEMA6A;SLC11A1;CYBB;MIR27A;SLC51B;DKK2;OSCAR;HLA-E;ARC;TYROBP;EMCN;RBP2;SFRP5;BTK;MAL;S100A4;PRKCQ;ERG;S100A8;CFTR;ABCG2;CALCRL;EPAS1;NOTCH4;ALOX15;C5AR1;FPR2;ADRB2;PRKCZ;AGER;C2;SOCS2;GRK5;STXBP6;A2M;HLA-DRB6;KL;EGR1;HLA-DRB5;EGR2;JUND;ACE;GADD45B;CAV2;ZBTB16;TNFSF12;TNFSF13;TRPV2;PRG4;PPBP;LYZ;BMP6;BMP5;SELP;RCAN1;MARCO;NR4A1;BMP2;IL6;NR4A3;HLA-DRA;IL7R;HLA-DRB1;PIGR;BTG2;SERPINA1;HSPB8;FHL1;RASGRF1;ARRB1;ITGAL;AFF3;TREM1;CXCL2;CX3CL1;THBD;FCGR3A;ACOXL;ADGRE5;CA3;CA2;HYAL2;MRC1;RSPO2;OLR1;ACP5;TIMP3;TPSAB1;CD34;HLA-DPA1;EDN1;VWF;DUSP1;ANXA3;SFTPD;FOS;KLF15;GPRC5A;MMRN1;TAL1;CAT;ALDH1A1;PECAM1;MMP19;TLR8;PPARG;GAS6;TLR4;DNASE1L3;ST6GALNAC5;ENG;HLA-DQB1;PPP1R15A;CX3CR1;PTGER4;RAMP2;TNXB;CLEC12A;PLA2G1B;NEDD9;PRELP;RETN;PTN;PRAM1;WIF1;ALOX5;PDPN;CXCR2;S1PR1;SLIT3;LDLR;IRX1;CYB5A;IL33;CCL23;ANGPT1;TIE1;SCD5;VEGFD;SOD3;TBX3;KLF2;FAM167A;DES;HLA-DPB1;FOSB;SIGLEC1;TEK
Myocardial Ischemia	64/448	7.82427604715235e-14	3.41086273815528e-11	64	0.142857142857143	HSPB6;GMFG;PCSK9;AQP4;CXCL2;CX3CL1;ZFP36;EDNRB;CCND2;ALDH2;GJA4;PDK4;ANKRD1;OLR1;CD36;EDN1;VWF;DUSP1;PRKCE;HBA1;DCN;HLA-E;ARC;AGTR1;PECAM1;PPARG;TLR4;ATF3;ABCG1;PPP1R15A;C1QB;ADH1B;NPR1;AK1;LPL;ADRB1;ADRB2;AGER;SULT1A1;GRK5;LDLR;RXRG;GDF10;KL;EGR1;EGR2;ACE;ANGPT1;KCNJ8;KLF4;SOD3;SELP;RCAN1;NR4A1;BMP2;IL6;RGCC;DES;FABP5;FXYD1;ID1;ID3;GPD1L;HLA-DRB1
Myocardial Infarction	105/966	1.31734910186867e-13	5.38384111069954e-11	105	0.108695652173913	FCN1;CSF3;FCN3;PROS1;NDST1;HPGDS;EDNRB;GJA4;SVEP1;ROS1;CD93;PRKCE;CYBB;LIFR;CYP27A1;CLDN5;ARC;SLPI;AGTR1;AGTR2;PLPP3;ABCG1;JCAD;PLA1A;CPB2;ARHGEF26;EPAS1;NPR1;NPR3;AK1;ALOX15;PLA2G3;LPL;ADRB1;ADRB2;AGER;C2;PDZD2;C7;A2M;EGR1;ACE;CAV1;TNFSF13;BMP6;SELP;RCAN1;IL6;OGN;NES;MIR34C;PCSK9;C8B;TREM1;CX3CL1;SLC6A4;THBD;FCGR3A;CA3;ALDH2;ADAMTS1;GPER1;OLR1;TIMP3;PHACTR1;CD36;CD34;EDN1;VWF;MIR23A;DCN;TGFBR2;MMRN1;CAT;PECAM1;PPARG;PDE5A;TLR4;HBEGF;ENG;CX3CR1;PTGER4;SELPLG;PLA2G1B;ADH1B;LAMA3;RETN;PTN;CST6;ALOX5;CXCR2;LDLR;CDKN2B;F10;ANGPT1;F11;KLF4;SOD3;TBX3;FABP4;DES;MGP;APOC1;ALOX5AP;TEK
Lung Neoplasms	120/1177	1.89335290933065e-13	7.28272627889006e-11	120	0.101954120645709	CSF3;CD83;C4BPA;CLU;TGM1;EFEMP1;CCND2;EDNRB;DMBT1;PTGDS;ROS1;MFSD2A;DAPK1;PRKCE;LMO2;CACNA2D2;CYBB;FRMD3;DOK2;SLPI;SELENOP;SPARCL1;MAL;SERPING1;AGTR2;ERG;CFTR;CES1;ABCG2;CPB2;ALOX15;PDGFB;GATA6;LPL;ADRB2;GATA2;PRKCZ;AGER;FBLN5;SULT1A1;A2M;EGR1;JUND;ACE;CADM1;WFS1;CAV1;PPBP;NR0B2;HSPA12B;HOPX;SELP;RCAN1;NR4A1;IL6;SCGB3A2;SCGB3A1;ID3;FGFR4;NES;FGFR2;SERPINA1;MIR34C;ARRB1;LIMD1;ALDH2;HYAL1;ADAMTS1;HYAL2;CTSH;TIMP3;CAMP;SFTPB;EDN1;VWF;DUSP1;GPX3;SFTPC;SECISBP2L;SFTPD;FOS;TGFBR2;TOX2;GPRC5A;MMP19;PPARG;ZMYND10;TLR4;DNASE1L3;ANGPTL1;ENG;RBMS3;PTGER4;CEBPA;RAMP2;SFTPA2;HPGD;SEMA3B;NEDD9;PTN;SELENBP1;DUOX1;WIF1;ABI3BP;CXCR2;GPC3;GDF10;KCNJ5;CDKN2B;ANGPT1;WNT7A;CYP4B1;KLF4;KLF6;GSTA4;DLC1;SCGB1A1;FOSB;SFTPA1;FOXA2
Mammary Neoplasms	201/2387	2.07420314496139e-13	7.53511909161252e-11	201	0.084206116464181	VIPR1;MT1M;AQP1;EDNRB;SOX17;PTGDS;HOXA5;GABARAPL1;STARD8;PRKCE;SLPI;SFRP5;AGTR1;BTK;PRKCQ;AGTR2;ATF3;CFTR;SLC22A3;EPAS1;RRAD;PDGFB;FPR1;FPR2;PRKCZ;SULT1A1;RRAS;SLC19A3;SULT1A2;MSR1;EGR1;JUND;ACE;CADM1;FOXF1;TNFSF12;TNFSF13;ALOX15B;FXYD3;ID1;ID4;HLA-DRB1;SYNM;BTG2;SERPINA1;CITED2;PTH1R;LIMD1;CX3CL1;HYAL1;HYAL2;MRC1;RSPO2;CTSH;TIMP3;CD36;CAMP;EDN1;MME;DUSP1;WNT9A;FOS;F8;PPARG;CRYAB;TLR4;ENG;HBEGF;HLA-DQB1;PTGER4;C1QA;CSTA;ADH1B;NEDD9;HSD17B6;PTN;CST6;FGD5;WIF1;ALOX5;PDPN;CXCR2;MGAT3;GPC3;AGR3;LDLR;GDF10;IL33;BCHE;CDKN2B;F10;CAVIN2;WNT7A;VEGFD;KLK10;LYVE1;KLK11;FABP5;DLC1;FOSB;ADGRL2;CSF3;CLU;CDH5;ZFP36;EFEMP1;CCND2;DACH1;DMBT1;LAMP3;CCRL2;LEPR;GUCY1A2;SCARA3;SEMA6A;LIFR;PGC;MAL;S100A4;CARD16;NUPR1;UTRN;S100A8;ABCG2;NOTCH4;ALOX15;LTBP4;LPL;FBLN1;NDRG2;AGER;RHOBTB2;SLC9A3R2;SOCS2;HCAR2;RAI2;KL;CBX7;CAV2;CAV1;BMP6;BMP5;SELP;NR4A1;PTPRB;BMP2;IL6;SCGB3A1;AMOTL1;FGFR4;FGFR2;ST6GALNAC2;MIR34C;CELF2;HSPB8;AFF3;CXCL3;CXCL2;SPN;FCGR3A;ADAMTS1;GPER1;ACP5;EGFL7;VWF;SH2D3C;SSTR1;DCN;TGFBR2;MMRN1;ADGRF5;CAT;ALDH1A1;PDE5A;ITIH5;CEBPA;SFTPA2;HPGD;LAMA3;NTN4;HSD17B13;SLIT3;SLIT2;WASF3;SASH1;IRX2;ANGPT1;TIE1;KLF4;PTPN13;TBX3;KLF2;TBX2;KLF6;DES;SCD;SCGB1A1;TEK;ACKR1;SFTPA1;FOLR1
Obesity	173/1961	2.85769266003738e-13	9.83497489683392e-11	173	0.0882202957674656	CSF3;PID1;CD83;NCF2;HHIP;AQP9;MSMO1;ADARB1;HPGDS;ZFP36;CCND2;DACH1;EDNRB;GJA5;GJA4;LEPR;PDK4;ROPN1L;PTGDS;ROS1;SEMA6A;DAPK2;CYBB;MIR27A;SLC51B;PGC;RBP4;ADCY9;SFRP5;GPD1;AGTR1;ANOS1;MAL;AGTR2;ADTRP;NUPR1;ATF3;S100A8;CD101;ABCG1;CES1;ABCG2;CFD;SLC22A3;CPB2;NDRG4;CALCRL;EPAS1;NPR1;MAOA;INSIG1;NPR3;ALOX15;C5AR1;FPR1;DPT;NEDD4L;LPL;ADRB1;ADRB2;PRKCZ;AGER;S100A12;A2M;CD300LG;GPIHBP1;KL;EGR1;JUND;ACE;CAV2;FZD4;WFS1;WNT3A;ZBTB16;TNFSF12;CAV1;LRRN4;PRG4;NR0B2;HOPX;SELP;NR4A1;IL6;NR4A3;IL7R;FGFR4;HLA-DRB1;SERPINA1;COX4I2;PCSK9;HIF3A;TREM1;CXCL2;CX3CL1;SLC6A4;SGCE;THBD;FCGR3A;CA3;C1QTNF7;GPER1;CA4;FFAR4;OLR1;ACP5;ZNF385B;TIMP3;CD36;CD34;SFTPB;EDN1;MME;VWF;DUSP1;GPX3;FOS;KLF15;DCN;MMRN1;TAL1;CRY2;CAT;ALDH1A1;PECAM1;MMP19;PPARG;GAS6;TLR4;ITIH5;CX3CR1;CEBPA;RAMP2;SELPLG;PLA2G1B;ADH1B;ITLN1;TMPRSS2;RETN;SELENBP1;ALOX5;CXCR2;MGAT3;SLIT2;LDLR;WASF3;AOC3;CYB5A;BCHE;CAVIN1;ANGPT1;CAVIN2;F11;APOBR;LHFPL3;SORBS1;KLF4;SORBS3;TBX3;KLF2;APLN;FABP4;FABP5;GSTA4;SCD;APOC1;ALOX5AP;ATP13A4;FOSB;AGRP;PNPLA6;ACKR1;SFTPA1
Malignant neoplasm of lung	203/2449	7.01857977717854e-13	2.29472465814852e-10	203	0.0828909759085341	VIPR1;HHIP;AQP9;PRF1;ADARB1;AQP1;EDNRB;SOX17;TMEM88;SOX18;DPYSL2;VSIG4;SOX7;HOXA5;MFSD2A;DAPK1;PRKCE;CACNA2D2;RBP2;SLPI;FEZ1;AGTR1;SERPING1;AGTR2;MYL9;ATF3;CFTR;CES1;SLC22A3;EPAS1;RRAD;GATA6;NEDD4L;FPR2;GATA2;PRKCZ;SULT1A1;A2M;MSR1;EGR1;NAPSA;JUND;ACE;CADM1;GADD45B;FOXF1;PPBP;NR0B2;HSPA12B;ALOX15B;FXYD3;ID1;ID3;HLA-DRB1;PIGR;BTG2;SERPINA1;TCF21;LIMD1;HYAL1;HYAL2;MRC1;TIMP3;CAMP;SFTPB;EDN1;MME;DUSP1;SFTPD;EMP1;EMP2;FOS;TOX2;GPRC5A;MMP19;CLDN18;PPARG;GAS6;TLR4;DNASE1L3;ANGPTL1;ENG;HBEGF;RAMP2;CSTA;NEDD9;HSD17B6;PTN;DUOX1;WIF1;ABI3BP;CXCR2;GPC3;GDF10;IL33;CDKN2B;SUSD2;SCTR;WNT7A;VEGFD;KLK11;GSTA4;DLC1;FOSB;FOXA2;SEMA5A;CSF3;CXCL17;CLU;TGM1;HPGDS;ZFP36;EFEMP1;CCND2;DACH1;DMBT1;PEBP4;DUOXA1;LEPR;ROS1;SCARA3;SEMA6A;MIR27A;FRMD3;DOK2;SELENOP;S100A4;ERG;SLC27A3;S100A8;ABCG2;CPB2;SHC3;ALOX15;C5AR1;ADRB2;AGER;FBLN5;RHOBTB2;SOCS2;KL;ZBTB16;CAV1;DHCR24;SMAD6;BMP6;HOPX;NR4A1;BMP2;IL6;RGCC;SCGB3A2;CASS4;SCGB3A1;IL7R;FGFR4;NES;FGFR2;MIR34C;ARRB1;TSPAN12;TREM1;SPN;TMEM100;THBD;ALDH2;CA2;ADAMTS8;MIR23A;GPX3;SECISBP2L;SSTR1;TGFBR2;CAT;ALDH1A1;PECAM1;ZMYND10;RBMS3;ITIH5;CX3CR1;CEBPA;SFTPA2;HPGD;PLA2G1B;SEMA3B;RETN;SELENBP1;IL1RL1;SCN7A;SLIT3;SLIT2;SASH1;KCNJ5;ANGPT1;CABLES1;KLF4;PTPN13;SOD3;KLF6;SCD;SCGB1A1;SFTPA1;FOLR1
Carcinoma of lung	204/2476	1.08376003892179e-12	3.37462233071884e-10	204	0.0823909531502423	VIPR1;HHIP;AQP9;ADARB1;AQP1;EDNRB;SOX17;TMEM88;SOX18;DPYSL2;VSIG4;SOX7;HOXA5;MFSD2A;DAPK1;PRKCE;CACNA2D2;RBP2;SLPI;FEZ1;AGTR1;AGTR2;MYL9;ATF3;CFTR;SLC22A3;EPAS1;RRAD;PDGFB;NEDD4L;FPR2;GATA2;PRKCZ;C2;SULT1A1;S100A12;MSR1;EGR1;NAPSA;ACE;CADM1;GADD45B;FOXF1;NR0B2;HSPA12B;ALOX15B;FXYD3;ID1;HLA-DRB1;PIGR;BTG2;SERPINA1;LIMD1;CRTAC1;HYAL1;HYAL2;MMP28;MRC1;TIMP3;SOSTDC1;CD34;CAMP;SFTPB;EDN1;DUSP1;SFTPD;EMP1;EMP2;TOX2;GPRC5A;MMP19;CLDN18;PPARG;GAS6;TLR4;ANGPTL1;ENG;HBEGF;RAMP2;CSTA;TNXB;MYRF;NEDD9;HSD17B6;PTN;DUOX1;WIF1;ABI3BP;CXCR2;GPC3;LDLR;GDF10;IL33;CDKN2B;SUSD2;WNT7A;VEGFD;KLK11;GSTA4;DLC1;FOXA2;SEMA5A;CSF3;CXCL17;FRY;CLU;TGM1;HPGDS;ZFP36;EFEMP1;CCND2;DACH1;DMBT1;PEBP4;DUOXA1;LEPR;ROS1;SCARA3;SEMA6A;SEMA6D;MIR27A;FRMD3;DOK2;S100A4;ERG;SLC27A3;S100A8;ABCG2;CPB2;SHC3;NOTCH4;ALOX15;C5AR1;ADRB2;AGER;FBLN5;SOCS2;KL;CBX7;WNT3A;ZBTB16;CAV1;DHCR24;SMAD6;BMP6;HOPX;NR4A1;BMP2;IL6;RGCC;NR4A3;SCGB3A2;CASS4;SCGB3A1;IL7R;FGFR4;NES;FGFR2;MIR34C;ARRB1;TSPAN12;TREM1;SPN;TMEM100;THBD;ALDH2;ADAMTS8;SGCG;EGFL7;VWF;MIR23A;SECISBP2L;SSTR1;TGFBR2;CAT;ALDH1A1;PECAM1;ZMYND10;RBMS3;ITIH5;CX3CR1;CEBPA;SFTPA2;HPGD;PLA2G1B;SEMA3B;RETN;IL1RL1;SCN7A;SLIT3;SLIT2;SASH1;KCNJ5;ANGPT1;TIE1;CABLES1;KLF4;PTPN13;SOD3;KLF6;SCD;SCGB1A1;SFTPA1;FOLR1
Psoriasis	90/818	4.3199519820166e-12	1.28400754592757e-09	90	0.110024449877751	CSF3;SERPINA1;LRRK2;PROS1;CXCL17;PRF1;AATK;MSMO1;ITGAL;CX3CL1;AQP1;TGM1;HPGDS;FCGR3A;CA2;CCRL2;MRC1;TIMP3;HLA-DOA;PTGDS;CD34;CAMP;SGCG;EDN1;SEMA6A;KLF13;DUSP1;CYBB;FOS;HLA-E;GPRC5A;SLPI;CAT;PECAM1;MMP19;TLR8;PPARG;S100A4;PRKCQ;SPATA18;TLR4;S100A8;HBEGF;HLA-DQB1;ABCG2;CX3CR1;CSTA;SELPLG;TNXB;MYRF;EPAS1;NOTCH4;ALOX15;IL20RA;PRKCZ;CST6;AGER;RASIP1;C2;HCAR2;DUOX1;CXCR2;S100A12;SLIT3;AOC3;EGR1;IL33;NAPSA;ACE;JUND;CAVIN1;ANGPT1;CAV1;TNFSF13;LYZ;NR0B2;SOD3;ALOX15B;LYVE1;KLK11;IL6;ID1;HLA-DPB1;ID4;FOSB;ACKR1;TEK;PKIG;HLA-DRB1;ADGRL2
Chronic Obstructive Airway Disease	78/669	7.36893537699013e-12	2.09502036652776e-09	78	0.116591928251121	PIGR;CSF3;VIPR1;SERPINA1;CD83;NCF2;HHIP;PRF1;ITGAL;TREM1;CXCL2;SLC6A4;HPGDS;EDNRB;ALDH2;MRC1;LEPR;PTGDS;CAMP;TNS1;SFTPB;EDN1;SEMA6A;VWF;SLC11A1;SFTPC;SFTPD;CYBB;CYS1;NPNT;TGFBR3;HCK;TOX2;GPRC5A;SLPI;MMRN1;COL4A3;CAT;PPARG;S100A4;TLR4;S100A8;CFTR;CSTA;SFTPA2;EPAS1;PLA2G1B;C5AR1;LTBP4;FBLN1;ADRB2;AGER;FBLN5;DUOX1;IL1RL1;PDZD2;CXCR2;A2M;KL;EGR1;MSR1;IL33;ACE;CAV1;SORBS1;SMAD6;TBX4;SOD3;KLF2;MFAP4;MARCO;IL6;FABP5;SCGB1A1;HLA-DPB1;ESAM;SFTPA1;FOXA2
Pneumonia	64/497	8.80972401491556e-12	2.40028272223054e-09	64	0.128772635814889	CSF3;TREM1;CXCL2;CX3CL1;HPGDS;FCGR3A;MRC1;ACP5;PTGDS;ROS1;SGCG;SFTPB;DUSP1;SFTPC;SFTPD;EMP1;CYBB;FOS;GPRC5A;BTK;PPARG;MS4A2;TLR4;ATF3;CFTR;SELPLG;SFTPA2;PLA2G1B;ALOX15;C5AR1;NLRC4;ADRB2;AGER;ALOX5;CXCR2;S1PR1;S100A12;AOC3;CCL24;IL33;ACE;JUND;ANGPT1;FOXF1;ABCA3;TNFSF12;CAV1;F11;KLF4;NR0B2;KLF2;SELP;IL6;FABP5;SCGB1A1;HLA-DPB1;SCGB3A2;FOSB;ESAM;SFTPA1;ACKR1;TEK;IL7R;HLA-DRB1
Tumor Progression	176/2090	9.55241170020412e-12	2.49852880430539e-09	176	0.0842105263157895	CSF3;SPI1;PROS1;CXCL17;PRF1;CLU;HPGDS;ZFP36;EFEMP1;CCND2;DACH1;EDNRB;SOX17;PEBP4;LAMP3;LEPR;PTGDS;SOX7;HOXA5;GABARAPL1;SEMA6A;DAPK1;LMO2;MIR27A;NPNT;RNASE1;HLA-E;RBP2;SLPI;AGTR1;SPARCL1;MAL;S100A4;CARD16;ERG;NUPR1;ATF3;S100A8;ABCG2;SLC22A3;EPAS1;NOTCH4;C5AR1;GATA6;FBLN1;NDRG2;AGER;SLC9A3R2;SOCS2;PLAC8;TSPAN7;S100A12;KL;MSR1;EGR1;CBX7;JUND;ACE;CADM1;CAV2;FZD4;WNT3A;CAV1;TNFSF13;TINCR;NR0B2;FLI1;BMP6;MARCO;NR4A1;BMP2;IL6;RGCC;ID1;ID4;PXMP4;AMOTL1;FGFR4;NES;FERMT2;HLA-DRB1;FGFR2;ACVRL1;PIGR;BTG2;SERPINA1;CLIC3;RASGRF1;TCF21;ARRB1;TSPAN12;LIMD1;TREM1;THBD;FCGR3A;ADGRE5;HYAL1;ADAMTS1;HYAL2;GPER1;MRC1;PRX;FFAR4;CTSH;TIMP3;SOSTDC1;EDN1;EGFL7;MME;VWF;DUSP1;MIR23A;ANXA3;GPX3;GKN2;FOS;DCN;TGFBR2;FGR;TGFBR3;GPRC5A;MMRN1;PEAK1;ADGRF5;CAT;ALDH1A1;MMP19;PPARG;ZMYND10;GAS6;TLR4;ANGPTL1;ENG;HBEGF;RBMS3;CEBPA;CSTA;TNXB;SFTPA2;HPGD;SEMA3B;ITLN1;NEDD9;TMPRSS2;RETN;PTN;CST6;SELENBP1;WIF1;ALOX5;ATOH8;PDPN;CXCR2;STOM;SLIT2;CTNNAL1;WASF3;IL33;CDKN2B;ANGPT1;CABLES1;VEGFD;KLF4;PTPN13;KLK10;TBX2;KLF6;DES;SCD;VEPH1;DLC1;MGP;SCGB1A1;FOSB;SFTPA1;FOLR1
Idiopathic pulmonary arterial hypertension	46/297	1.62239864834624e-11	4.0803326005908e-09	46	0.154882154882155	ACVRL1;CX3CR1;NFIX;SFTPA2;FHL1;GATA6;AQP1;SLC6A4;EDNRB;SOX17;ALOX5;MRC1;HOXA5;EGR1;SFTPB;EDN1;ANGPT1;FOXF1;MIR23A;DAPK2;SFTPC;CAV1;SMAD9;LIFR;KLF4;TBX4;TGFBR2;TGFBR3;BMP2;IL6;ARHGAP31;KLF6;NR4A3;SLPI;MMRN1;MGP;AGTR1;PECAM1;PPARG;S100A4;PDE5A;TEK;UTRN;HLA-DRB1;KCNK3;ENG
Vascular inflammations	30/142	2.4657881391004e-11	5.97177357095464e-09	30	0.211267605633803	CPB2;RETN;THBD;ZFP36;BMPER;S1PR1;S100A12;TIMP3;SLIT2;LDLR;KL;ACE;VWF;ANGPT1;DUSP1;DHCR24;LYZ;KLF4;NR0B2;KLF15;NR4A1;RBP4;IL6;PECAM1;PPARG;TEK;TLR4;S100A8;ENG;RBMS3
Diabetic Nephropathy	68/561	3.08484318954943e-11	7.16419377964043e-09	68	0.121212121212121	ACVRL1;ARRB1;AQP1;THBD;ZFP36;HPGDS;ALDH2;GLIPR2;ANKRD1;TIMP3;CD36;PTGDS;ROS1;UNC13B;EDN1;SEMA6A;VWF;PRKCE;DAPK2;CYBB;MIR27A;HBA1;DCN;TGFBR2;FRMD3;SCNN1G;RBP4;SLPI;MMRN1;CAT;AGTR1;PPARG;AGTR2;GAS6;UTRN;TLR4;S100A8;ENG;RBMS3;SLC22A3;PLEKHH2;RAMP2;CALCRL;ADH1B;LPL;AGER;SELENBP1;SASH1;AOC3;KL;ACE;ANGPT1;WFS1;CAV1;CYP4B1;SORBS1;LYZ;NR0B2;KLF2;SELP;KLF6;BMP2;IL6;FABP4;SCD;APOC1;MGP;HLA-DRB1
Cerebrovascular accident	84/768	3.17726899540561e-11	7.16419377964043e-09	84	0.109375	ACVRL1;CSF3;CSF3R;HBB;PCSK9;AQP4;ITGAL;SLC6A4;THBD;HPGDS;EDNRB;ALDH2;ADAMTS1;LAMP3;OLR1;TIMP3;PHACTR1;CD36;CD34;EDN1;EGFL7;VWF;GPX3;CYBB;MCEMP1;HBA2;HBA1;UPK3B;TGFBR3;CLDN5;F8;ADCY9;MMRN1;NINJ2;CAT;AGTR1;PPARG;PDE5A;AGTR2;GAS6;PLPP3;TLR4;ENG;ABCG2;CX3CR1;CPB2;SELPLG;MAOA;ADH1B;PLA2G1B;NPR3;NEDD4L;LPL;ADRB1;HSD17B6;ADRB2;RETN;AGER;ALOX5;TPPP;A2M;LDLR;AOC3;GDF10;BCHE;EGR1;CDKN2B;ACE;ANGPT1;ZBTB16;CAV1;SORBS1;TBX3;KLF2;SELP;RCAN1;PTPRB;IL6;ALOX5AP;HLA-DPB1;TEK;NES;HLA-DRB1;KCNK3
Endometriosis	82/749	5.2712439689247e-11	1.14895547709329e-08	82	0.109479305740988	CAB39L;LAMC3;LRRK2;LINC00261;IHH;LMOD1;RXFP1;CX3CL1;SLC6A4;HPGDS;CA2;GPER1;MRC1;LEPR;ANKRD1;CD36;KLF13;MME;DUSP1;GPX3;DAPK2;FOS;MIRLET7D;DCN;DCSTAMP;SLPI;RHOJ;SELENOP;CAT;AGTR1;SPARCL1;PPARG;S100A4;AGTR2;UTRN;TLR4;HBEGF;HLA-DQB1;CFD;PTGER4;CEBPA;MAOB;HPGD;MAOA;NOTCH4;ALOX15;SLC1A1;GATA6;NEDD4L;NDNF;HSD17B13;FBLN1;PTN;RETN;GATA2;C2;ABI3BP;CXCR2;S1PR1;SLIT3;METTL7A;CYB5A;EGR1;IL33;CDKN2B;ACE;CADM1;ANGPT1;WNT3A;WNT7A;FMO2;NR0B2;NR4A1;IL6;KLF9;HLA-DPB1;HLA-DRA;SCGB3A1;TEK;IL7R;HLA-DRB1;FGFR2
